insurance_plan_id,name,coverage,region
269,Insurance Plan 269,Medical,East
270,Insurance Plan 270,Accident,West
271,Insurance Plan 271,Natural Disaster,South
272,Insurance Plan 272,Accident,South
273,Insurance Plan 273,Medical,West
274,Insurance Plan 274,Accident,North
275,Insurance Plan 275,Accident,East
276,Insurance Plan 276,Accident,South
277,Insurance Plan 277,Accident,South
278,Insurance Plan 278,Natural Disaster,North
279,Insurance Plan 279,Accident,North
280,Insurance Plan 280,Fire,West
281,Insurance Plan 281,Theft,West
282,Insurance Plan 282,Theft,North
283,Insurance Plan 283,Medical,West
284,Insurance Plan 284,Medical,South
285,Insurance Plan 285,Accident,East
286,Insurance Plan 286,Medical,West
287,Insurance Plan 287,Medical,West
288,Insurance Plan 288,Medical,North
289,Insurance Plan 289,Accident,North
290,Insurance Plan 290,Natural Disaster,North
291,Insurance Plan 291,Medical,South
292,Insurance Plan 292,Fire,North
293,Insurance Plan 293,Fire,South
294,Insurance Plan 294,Theft,North
295,Insurance Plan 295,Natural Disaster,South
296,Insurance Plan 296,Theft,South
297,Insurance Plan 297,Accident,North
298,Insurance Plan 298,Natural Disaster,South
299,Insurance Plan 299,Accident,East
300,Insurance Plan 300,Medical,South
301,Insurance Plan 301,Natural Disaster,North
302,Insurance Plan 302,Theft,East
303,Insurance Plan 303,Fire,North
304,Insurance Plan 304,Medical,West
305,Insurance Plan 305,Accident,South
306,Insurance Plan 306,Fire,South
307,Insurance Plan 307,Fire,East
308,Insurance Plan 308,Natural Disaster,North
309,Insurance Plan 309,Natural Disaster,North
310,Insurance Plan 310,Medical,West
311,Insurance Plan 311,Medical,North
312,Insurance Plan 312,Natural Disaster,East
313,Insurance Plan 313,Fire,West
314,Insurance Plan 314,Accident,North
315,Insurance Plan 315,Accident,East
316,Insurance Plan 316,Accident,South
317,Insurance Plan 317,Accident,South
318,Insurance Plan 318,Natural Disaster,East
319,Insurance Plan 319,Natural Disaster,West
320,Insurance Plan 320,Accident,West
321,Insurance Plan 321,Natural Disaster,East
322,Insurance Plan 322,Medical,South
323,Insurance Plan 323,Fire,East
324,Insurance Plan 324,Accident,South
325,Insurance Plan 325,Accident,West
326,Insurance Plan 326,Medical,North
327,Insurance Plan 327,Accident,East
328,Insurance Plan 328,Theft,West
329,Insurance Plan 329,Theft,East
330,Insurance Plan 330,Medical,East
331,Insurance Plan 331,Medical,East
332,Insurance Plan 332,Natural Disaster,North
333,Insurance Plan 333,Natural Disaster,South
334,Insurance Plan 334,Fire,South
335,Insurance Plan 335,Accident,West
336,Insurance Plan 336,Natural Disaster,South
337,Insurance Plan 337,Accident,West
338,Insurance Plan 338,Accident,North
339,Insurance Plan 339,Fire,East
340,Insurance Plan 340,Theft,West
341,Insurance Plan 341,Theft,East
342,Insurance Plan 342,Natural Disaster,East
343,Insurance Plan 343,Accident,East
344,Insurance Plan 344,Accident,East
345,Insurance Plan 345,Medical,West
346,Insurance Plan 346,Medical,East
347,Insurance Plan 347,Medical,South
348,Insurance Plan 348,Fire,South
349,Insurance Plan 349,Medical,North
350,Insurance Plan 350,Natural Disaster,South
351,Insurance Plan 351,Theft,South
352,Insurance Plan 352,Accident,East
353,Insurance Plan 353,Natural Disaster,East
354,Insurance Plan 354,Fire,South
355,Insurance Plan 355,Medical,South
356,Insurance Plan 356,Medical,South
357,Insurance Plan 357,Medical,North
358,Insurance Plan 358,Natural Disaster,South
359,Insurance Plan 359,Medical,North
360,Insurance Plan 360,Fire,East
361,Insurance Plan 361,Theft,West
362,Insurance Plan 362,Fire,North
363,Insurance Plan 363,Natural Disaster,East
364,Insurance Plan 364,Accident,West
365,Insurance Plan 365,Accident,East
366,Insurance Plan 366,Theft,North
367,Insurance Plan 367,Medical,West
368,Insurance Plan 368,Fire,North
369,Insurance Plan 369,Accident,West
370,Insurance Plan 370,Fire,North
371,Insurance Plan 371,Theft,South
372,Insurance Plan 372,Natural Disaster,East
373,Insurance Plan 373,Fire,South
374,Insurance Plan 374,Fire,West
375,Insurance Plan 375,Natural Disaster,South
376,Insurance Plan 376,Natural Disaster,West
377,Insurance Plan 377,Accident,West
378,Insurance Plan 378,Medical,West
379,Insurance Plan 379,Medical,North
380,Insurance Plan 380,Natural Disaster,North
381,Insurance Plan 381,Theft,South
382,Insurance Plan 382,Medical,North
383,Insurance Plan 383,Theft,South
384,Insurance Plan 384,Theft,North
385,Insurance Plan 385,Theft,North
386,Insurance Plan 386,Accident,West
387,Insurance Plan 387,Natural Disaster,West
388,Insurance Plan 388,Medical,North
389,Insurance Plan 389,Theft,East
390,Insurance Plan 390,Medical,West
391,Insurance Plan 391,Fire,South
392,Insurance Plan 392,Medical,South
393,Insurance Plan 393,Accident,North
394,Insurance Plan 394,Natural Disaster,South
395,Insurance Plan 395,Theft,East
396,Insurance Plan 396,Theft,North
397,Insurance Plan 397,Fire,South
398,Insurance Plan 398,Medical,East
399,Insurance Plan 399,Accident,North
400,Insurance Plan 400,Accident,East
401,Insurance Plan 401,Accident,East
402,Insurance Plan 402,Natural Disaster,West
403,Insurance Plan 403,Accident,North
404,Insurance Plan 404,Natural Disaster,North
405,Insurance Plan 405,Accident,East
406,Insurance Plan 406,Natural Disaster,East
407,Insurance Plan 407,Fire,North
408,Insurance Plan 408,Theft,North
409,Insurance Plan 409,Medical,North
410,Insurance Plan 410,Theft,West
411,Insurance Plan 411,Natural Disaster,West
412,Insurance Plan 412,Medical,South
413,Insurance Plan 413,Natural Disaster,West
414,Insurance Plan 414,Accident,North
415,Insurance Plan 415,Accident,East
416,Insurance Plan 416,Accident,East
417,Insurance Plan 417,Medical,North
418,Insurance Plan 418,Theft,East
419,Insurance Plan 419,Accident,West
420,Insurance Plan 420,Medical,West
421,Insurance Plan 421,Natural Disaster,North
422,Insurance Plan 422,Accident,North
423,Insurance Plan 423,Medical,East
424,Insurance Plan 424,Medical,North
425,Insurance Plan 425,Accident,North
426,Insurance Plan 426,Natural Disaster,West
427,Insurance Plan 427,Accident,North
428,Insurance Plan 428,Theft,East
429,Insurance Plan 429,Natural Disaster,West
430,Insurance Plan 430,Accident,North
431,Insurance Plan 431,Theft,East
432,Insurance Plan 432,Natural Disaster,South
433,Insurance Plan 433,Medical,West
434,Insurance Plan 434,Accident,North
435,Insurance Plan 435,Fire,South
436,Insurance Plan 436,Theft,East
437,Insurance Plan 437,Natural Disaster,North
438,Insurance Plan 438,Natural Disaster,West
439,Insurance Plan 439,Fire,South
440,Insurance Plan 440,Fire,West
441,Insurance Plan 441,Fire,South
442,Insurance Plan 442,Accident,East
443,Insurance Plan 443,Natural Disaster,East
444,Insurance Plan 444,Accident,West
445,Insurance Plan 445,Accident,South
446,Insurance Plan 446,Accident,South
447,Insurance Plan 447,Accident,South
448,Insurance Plan 448,Natural Disaster,South
449,Insurance Plan 449,Fire,East
450,Insurance Plan 450,Accident,East
451,Insurance Plan 451,Natural Disaster,East
452,Insurance Plan 452,Fire,East
453,Insurance Plan 453,Medical,West
454,Insurance Plan 454,Theft,West
455,Insurance Plan 455,Natural Disaster,West
456,Insurance Plan 456,Medical,East
457,Insurance Plan 457,Natural Disaster,West
458,Insurance Plan 458,Accident,East
459,Insurance Plan 459,Theft,South
460,Insurance Plan 460,Natural Disaster,West
461,Insurance Plan 461,Theft,West
462,Insurance Plan 462,Fire,East
463,Insurance Plan 463,Accident,West
464,Insurance Plan 464,Accident,South
465,Insurance Plan 465,Accident,North
466,Insurance Plan 466,Theft,East
467,Insurance Plan 467,Fire,West
468,Insurance Plan 468,Fire,West
469,Insurance Plan 469,Fire,South
470,Insurance Plan 470,Accident,South
471,Insurance Plan 471,Fire,West
472,Insurance Plan 472,Medical,East
473,Insurance Plan 473,Natural Disaster,West
474,Insurance Plan 474,Fire,East
475,Insurance Plan 475,Natural Disaster,West
476,Insurance Plan 476,Medical,West
477,Insurance Plan 477,Natural Disaster,North
478,Insurance Plan 478,Natural Disaster,North
479,Insurance Plan 479,Theft,East
480,Insurance Plan 480,Theft,North
481,Insurance Plan 481,Accident,North
482,Insurance Plan 482,Fire,West
483,Insurance Plan 483,Theft,East
484,Insurance Plan 484,Fire,North
485,Insurance Plan 485,Medical,North
486,Insurance Plan 486,Medical,East
487,Insurance Plan 487,Medical,West
488,Insurance Plan 488,Theft,South
489,Insurance Plan 489,Natural Disaster,West
490,Insurance Plan 490,Natural Disaster,South
491,Insurance Plan 491,Theft,South
492,Insurance Plan 492,Fire,West
493,Insurance Plan 493,Natural Disaster,South
494,Insurance Plan 494,Accident,South
495,Insurance Plan 495,Theft,West
496,Insurance Plan 496,Medical,West
497,Insurance Plan 497,Medical,North
498,Insurance Plan 498,Accident,East
499,Insurance Plan 499,Natural Disaster,South
500,Insurance Plan 500,Fire,West
501,Insurance Plan 501,Medical,East
502,Insurance Plan 502,Accident,East
503,Insurance Plan 503,Accident,East
504,Insurance Plan 504,Theft,West
505,Insurance Plan 505,Accident,North
506,Insurance Plan 506,Theft,West
507,Insurance Plan 507,Natural Disaster,East
508,Insurance Plan 508,Natural Disaster,East
509,Insurance Plan 509,Medical,North
510,Insurance Plan 510,Accident,East
511,Insurance Plan 511,Fire,North
512,Insurance Plan 512,Natural Disaster,West
513,Insurance Plan 513,Medical,South
514,Insurance Plan 514,Natural Disaster,East
515,Insurance Plan 515,Theft,South
516,Insurance Plan 516,Natural Disaster,East
517,Insurance Plan 517,Theft,North
518,Insurance Plan 518,Fire,East
519,Insurance Plan 519,Accident,North
520,Insurance Plan 520,Natural Disaster,East
521,Insurance Plan 521,Theft,North
522,Insurance Plan 522,Medical,East
523,Insurance Plan 523,Accident,South
524,Insurance Plan 524,Theft,South
525,Insurance Plan 525,Natural Disaster,East
526,Insurance Plan 526,Natural Disaster,East
527,Insurance Plan 527,Theft,East
528,Insurance Plan 528,Accident,East
529,Insurance Plan 529,Medical,North
530,Insurance Plan 530,Accident,North
531,Insurance Plan 531,Theft,South
532,Insurance Plan 532,Accident,East
533,Insurance Plan 533,Fire,West
534,Insurance Plan 534,Fire,East
535,Insurance Plan 535,Natural Disaster,North
536,Insurance Plan 536,Accident,East
537,Insurance Plan 537,Medical,West
538,Insurance Plan 538,Medical,North
539,Insurance Plan 539,Theft,West
540,Insurance Plan 540,Fire,East
541,Insurance Plan 541,Natural Disaster,South
542,Insurance Plan 542,Fire,West
543,Insurance Plan 543,Medical,West
544,Insurance Plan 544,Fire,South
545,Insurance Plan 545,Fire,North
546,Insurance Plan 546,Medical,West
547,Insurance Plan 547,Fire,North
548,Insurance Plan 548,Theft,South
549,Insurance Plan 549,Accident,West
550,Insurance Plan 550,Medical,West
551,Insurance Plan 551,Natural Disaster,South
552,Insurance Plan 552,Accident,North
553,Insurance Plan 553,Accident,West
554,Insurance Plan 554,Medical,North
555,Insurance Plan 555,Medical,South
556,Insurance Plan 556,Accident,West
557,Insurance Plan 557,Theft,East
558,Insurance Plan 558,Fire,East
559,Insurance Plan 559,Natural Disaster,East
560,Insurance Plan 560,Fire,West
561,Insurance Plan 561,Medical,South
562,Insurance Plan 562,Fire,West
563,Insurance Plan 563,Fire,South
564,Insurance Plan 564,Natural Disaster,North
565,Insurance Plan 565,Fire,East
566,Insurance Plan 566,Theft,South
567,Insurance Plan 567,Natural Disaster,South
568,Insurance Plan 568,Fire,South
569,Insurance Plan 569,Natural Disaster,South
570,Insurance Plan 570,Theft,East
571,Insurance Plan 571,Theft,North
572,Insurance Plan 572,Medical,South
573,Insurance Plan 573,Theft,East
574,Insurance Plan 574,Theft,North
575,Insurance Plan 575,Fire,South
576,Insurance Plan 576,Fire,East
577,Insurance Plan 577,Theft,East
578,Insurance Plan 578,Fire,South
579,Insurance Plan 579,Medical,North
580,Insurance Plan 580,Theft,West
581,Insurance Plan 581,Natural Disaster,North
582,Insurance Plan 582,Fire,West
583,Insurance Plan 583,Accident,East
584,Insurance Plan 584,Natural Disaster,North
585,Insurance Plan 585,Accident,South
586,Insurance Plan 586,Natural Disaster,North
587,Insurance Plan 587,Natural Disaster,East
588,Insurance Plan 588,Accident,North
589,Insurance Plan 589,Fire,West
590,Insurance Plan 590,Accident,West
591,Insurance Plan 591,Fire,West
592,Insurance Plan 592,Accident,North
593,Insurance Plan 593,Fire,East
594,Insurance Plan 594,Natural Disaster,South
595,Insurance Plan 595,Fire,South
596,Insurance Plan 596,Medical,East
597,Insurance Plan 597,Accident,East
598,Insurance Plan 598,Accident,West
599,Insurance Plan 599,Fire,North
600,Insurance Plan 600,Natural Disaster,South
601,Insurance Plan 601,Accident,West
602,Insurance Plan 602,Theft,West
603,Insurance Plan 603,Medical,West
604,Insurance Plan 604,Accident,West
605,Insurance Plan 605,Fire,East
606,Insurance Plan 606,Accident,East
607,Insurance Plan 607,Medical,East
608,Insurance Plan 608,Theft,West
609,Insurance Plan 609,Fire,North
610,Insurance Plan 610,Fire,North
611,Insurance Plan 611,Accident,North
612,Insurance Plan 612,Medical,South
613,Insurance Plan 613,Natural Disaster,North
614,Insurance Plan 614,Natural Disaster,East
615,Insurance Plan 615,Fire,West
616,Insurance Plan 616,Medical,West
617,Insurance Plan 617,Fire,East
618,Insurance Plan 618,Natural Disaster,East
619,Insurance Plan 619,Medical,North
620,Insurance Plan 620,Natural Disaster,South
621,Insurance Plan 621,Theft,West
622,Insurance Plan 622,Theft,North
623,Insurance Plan 623,Medical,East
624,Insurance Plan 624,Fire,East
625,Insurance Plan 625,Natural Disaster,South
626,Insurance Plan 626,Accident,North
627,Insurance Plan 627,Natural Disaster,East
628,Insurance Plan 628,Fire,South
629,Insurance Plan 629,Medical,East
630,Insurance Plan 630,Medical,East
631,Insurance Plan 631,Fire,South
632,Insurance Plan 632,Theft,West
633,Insurance Plan 633,Fire,South
634,Insurance Plan 634,Fire,North
635,Insurance Plan 635,Natural Disaster,South
636,Insurance Plan 636,Accident,West
637,Insurance Plan 637,Accident,East
638,Insurance Plan 638,Theft,East
639,Insurance Plan 639,Medical,East
640,Insurance Plan 640,Natural Disaster,North
641,Insurance Plan 641,Fire,South
642,Insurance Plan 642,Theft,North
643,Insurance Plan 643,Fire,East
644,Insurance Plan 644,Accident,West
645,Insurance Plan 645,Accident,West
646,Insurance Plan 646,Accident,East
647,Insurance Plan 647,Theft,North
648,Insurance Plan 648,Medical,West
649,Insurance Plan 649,Fire,East
650,Insurance Plan 650,Natural Disaster,West
651,Insurance Plan 651,Natural Disaster,East
652,Insurance Plan 652,Fire,South
653,Insurance Plan 653,Accident,North
654,Insurance Plan 654,Fire,South
655,Insurance Plan 655,Medical,South
656,Insurance Plan 656,Theft,East
657,Insurance Plan 657,Medical,East
658,Insurance Plan 658,Fire,North
659,Insurance Plan 659,Accident,West
660,Insurance Plan 660,Theft,South
661,Insurance Plan 661,Accident,South
662,Insurance Plan 662,Natural Disaster,East
663,Insurance Plan 663,Fire,West
664,Insurance Plan 664,Fire,West
665,Insurance Plan 665,Fire,West
666,Insurance Plan 666,Fire,East
667,Insurance Plan 667,Natural Disaster,West
668,Insurance Plan 668,Natural Disaster,West
669,Insurance Plan 669,Accident,East
670,Insurance Plan 670,Fire,West
671,Insurance Plan 671,Fire,East
672,Insurance Plan 672,Theft,West
673,Insurance Plan 673,Medical,North
674,Insurance Plan 674,Accident,North
675,Insurance Plan 675,Theft,West
676,Insurance Plan 676,Natural Disaster,West
677,Insurance Plan 677,Natural Disaster,North
678,Insurance Plan 678,Accident,East
679,Insurance Plan 679,Medical,South
680,Insurance Plan 680,Medical,South
681,Insurance Plan 681,Fire,North
682,Insurance Plan 682,Natural Disaster,South
683,Insurance Plan 683,Medical,East
684,Insurance Plan 684,Theft,South
685,Insurance Plan 685,Fire,South
686,Insurance Plan 686,Medical,South
687,Insurance Plan 687,Theft,South
688,Insurance Plan 688,Fire,South
689,Insurance Plan 689,Accident,West
690,Insurance Plan 690,Natural Disaster,West
691,Insurance Plan 691,Natural Disaster,East
692,Insurance Plan 692,Medical,South
693,Insurance Plan 693,Accident,North
694,Insurance Plan 694,Accident,West
695,Insurance Plan 695,Medical,East
696,Insurance Plan 696,Natural Disaster,North
697,Insurance Plan 697,Medical,North
698,Insurance Plan 698,Medical,West
699,Insurance Plan 699,Accident,North
700,Insurance Plan 700,Fire,East
701,Insurance Plan 701,Medical,North
702,Insurance Plan 702,Fire,West
703,Insurance Plan 703,Accident,North
704,Insurance Plan 704,Accident,South
705,Insurance Plan 705,Medical,West
706,Insurance Plan 706,Natural Disaster,South
707,Insurance Plan 707,Fire,West
708,Insurance Plan 708,Fire,East
709,Insurance Plan 709,Fire,South
710,Insurance Plan 710,Fire,South
711,Insurance Plan 711,Accident,West
712,Insurance Plan 712,Natural Disaster,South
713,Insurance Plan 713,Medical,East
714,Insurance Plan 714,Medical,West
715,Insurance Plan 715,Accident,East
716,Insurance Plan 716,Natural Disaster,North
717,Insurance Plan 717,Medical,North
718,Insurance Plan 718,Medical,North
719,Insurance Plan 719,Natural Disaster,West
720,Insurance Plan 720,Medical,East
721,Insurance Plan 721,Natural Disaster,South
722,Insurance Plan 722,Medical,North
723,Insurance Plan 723,Natural Disaster,South
724,Insurance Plan 724,Medical,East
725,Insurance Plan 725,Accident,South
726,Insurance Plan 726,Natural Disaster,North
727,Insurance Plan 727,Medical,West
728,Insurance Plan 728,Medical,South
729,Insurance Plan 729,Natural Disaster,North
730,Insurance Plan 730,Accident,East
731,Insurance Plan 731,Fire,East
732,Insurance Plan 732,Medical,South
733,Insurance Plan 733,Theft,East
734,Insurance Plan 734,Accident,South
735,Insurance Plan 735,Theft,South
736,Insurance Plan 736,Theft,North
737,Insurance Plan 737,Medical,North
738,Insurance Plan 738,Natural Disaster,North
739,Insurance Plan 739,Medical,South
