user_id,needs
159,"Fire, Natural Disaster"
160,"Theft, Accident"
161,"Medical, Fire"
162,"Medical, Accident"
163,"Fire, Natural Disaster"
164,"Fire, Natural Disaster"
165,"Medical, Accident"
166,"Medical, Accident"
167,"Medical, Fire"
168,"Theft, Accident"
169,"Fire, Natural Disaster"
170,"Medical, Accident"
171,"Theft, Accident"
172,"Medical, Accident"
173,"Fire, Natural Disaster"
174,"Fire, Natural Disaster"
175,"Fire, Natural Disaster"
176,"Theft, Accident"
177,"Medical, Accident"
178,"Medical, Accident"
179,"Theft, Accident"
180,"Medical, Fire"
181,"Medical, Accident"
182,"Fire, Theft"
183,"Fire, Natural Disaster"
184,"Fire, Theft"
185,"Fire, Natural Disaster"
186,"Theft, Accident"
187,"Medical, Fire"
188,"Fire, Theft"
189,"Medical, Accident"
190,"Medical, Fire"
191,"Medical, Accident"
192,"Fire, Theft"
193,"Theft, Accident"
194,"Medical, Fire"
195,"Medical, Accident"
196,"Medical, Accident"
197,"Medical, Fire"
198,"Theft, Accident"
199,"Fire, Theft"
200,"Fire, Theft"
201,"Theft, Accident"
202,"Fire, Natural Disaster"
203,"Medical, Accident"
204,"Fire, Theft"
205,"Medical, Accident"
206,"Medical, Fire"
207,"Theft, Accident"
208,"Theft, Accident"
209,"Medical, Fire"
210,"Fire, Natural Disaster"
211,"Medical, Accident"
212,"Fire, Natural Disaster"
213,"Medical, Accident"
214,"Fire, Natural Disaster"
215,"Medical, Accident"
216,"Fire, Natural Disaster"
217,"Medical, Accident"
218,"Medical, Fire"
219,"Theft, Accident"
220,"Medical, Accident"
221,"Fire, Theft"
222,"Fire, Natural Disaster"
223,"Fire, Natural Disaster"
224,"Fire, Theft"
225,"Theft, Accident"
226,"Theft, Accident"
227,"Medical, Fire"
228,"Medical, Fire"
229,"Fire, Theft"
230,"Medical, Fire"
231,"Theft, Accident"
232,"Fire, Theft"
233,"Medical, Accident"
234,"Medical, Accident"
235,"Fire, Theft"
236,"Medical, Accident"
237,"Medical, Fire"
238,"Fire, Theft"
239,"Fire, Theft"
240,"Theft, Accident"
241,"Medical, Fire"
242,"Medical, Fire"
243,"Medical, Accident"
244,"Medical, Accident"
245,"Fire, Theft"
246,"Fire, Theft"
247,"Medical, Accident"
248,"Medical, Accident"
249,"Fire, Theft"
250,"Medical, Accident"
251,"Fire, Theft"
252,"Theft, Accident"
253,"Theft, Accident"
254,"Medical, Fire"
255,"Fire, Theft"
256,"Theft, Accident"
257,"Medical, Fire"
258,"Medical, Accident"
259,"Fire, Natural Disaster"
260,"Medical, Fire"
261,"Fire, Natural Disaster"
262,"Medical, Fire"
263,"Fire, Natural Disaster"
264,"Fire, Natural Disaster"
265,"Theft, Accident"
266,"Fire, Theft"
267,"Fire, Theft"
268,"Medical, Fire"
269,"Fire, Theft"
270,"Medical, Fire"
271,"Theft, Accident"
272,"Theft, Accident"
273,"Medical, Fire"
274,"Medical, Fire"
275,"Fire, Theft"
276,"Fire, Natural Disaster"
277,"Theft, Accident"
278,"Theft, Accident"
279,"Medical, Accident"
280,"Fire, Theft"
281,"Fire, Theft"
282,"Fire, Natural Disaster"
283,"Medical, Accident"
284,"Medical, Fire"
285,"Medical, Fire"
286,"Fire, Natural Disaster"
287,"Fire, Natural Disaster"
288,"Medical, Fire"
289,"Fire, Natural Disaster"
290,"Medical, Accident"
291,"Theft, Accident"
292,"Medical, Fire"
293,"Theft, Accident"
294,"Fire, Natural Disaster"
295,"Fire, Natural Disaster"
296,"Theft, Accident"
297,"Fire, Natural Disaster"
298,"Theft, Accident"
299,"Fire, Theft"
300,"Medical, Fire"
301,"Fire, Natural Disaster"
302,"Medical, Accident"
303,"Medical, Accident"
304,"Theft, Accident"
305,"Medical, Accident"
306,"Fire, Theft"
307,"Medical, Fire"
308,"Medical, Accident"
309,"Fire, Natural Disaster"
310,"Medical, Accident"
311,"Medical, Accident"
312,"Fire, Theft"
313,"Medical, Accident"
314,"Medical, Accident"
315,"Fire, Theft"
316,"Theft, Accident"
317,"Fire, Theft"
318,"Fire, Theft"
319,"Theft, Accident"
320,"Medical, Accident"
321,"Medical, Fire"
322,"Theft, Accident"
323,"Medical, Fire"
324,"Medical, Accident"
325,"Fire, Theft"
326,"Theft, Accident"
327,"Fire, Natural Disaster"
328,"Medical, Fire"
329,"Medical, Fire"
330,"Fire, Theft"
331,"Fire, Theft"
332,"Fire, Natural Disaster"
333,"Medical, Fire"
334,"Fire, Natural Disaster"
335,"Medical, Accident"
336,"Fire, Natural Disaster"
337,"Medical, Fire"
338,"Medical, Fire"
339,"Medical, Fire"
340,"Medical, Fire"
341,"Theft, Accident"
342,"Medical, Fire"
343,"Medical, Fire"
344,"Fire, Theft"
345,"Medical, Accident"
346,"Medical, Fire"
347,"Medical, Accident"
348,"Fire, Theft"
349,"Medical, Fire"
350,"Fire, Theft"
351,"Fire, Theft"
352,"Medical, Accident"
353,"Fire, Natural Disaster"
354,"Fire, Natural Disaster"
355,"Fire, Natural Disaster"
356,"Fire, Theft"
357,"Medical, Accident"
358,"Fire, Theft"
359,"Fire, Theft"
360,"Fire, Theft"
361,"Theft, Accident"
362,"Medical, Accident"
363,"Medical, Accident"
364,"Medical, Fire"
365,"Theft, Accident"
366,"Medical, Accident"
367,"Medical, Fire"
368,"Fire, Natural Disaster"
369,"Medical, Accident"
370,"Fire, Theft"
371,"Fire, Theft"
372,"Theft, Accident"
373,"Fire, Theft"
374,"Theft, Accident"
375,"Medical, Accident"
376,"Theft, Accident"
377,"Medical, Accident"
378,"Medical, Fire"
379,"Medical, Accident"
380,"Medical, Fire"
381,"Fire, Theft"
382,"Theft, Accident"
383,"Medical, Fire"
384,"Medical, Accident"
385,"Fire, Natural Disaster"
386,"Medical, Fire"
387,"Medical, Accident"
388,"Medical, Fire"
389,"Medical, Fire"
390,"Fire, Theft"
391,"Fire, Theft"
392,"Fire, Natural Disaster"
393,"Fire, Natural Disaster"
394,"Medical, Fire"
395,"Fire, Natural Disaster"
396,"Medical, Accident"
397,"Fire, Natural Disaster"
398,"Fire, Natural Disaster"
399,"Medical, Accident"
400,"Medical, Accident"
401,"Medical, Accident"
402,"Medical, Fire"
403,"Medical, Accident"
404,"Medical, Fire"
405,"Medical, Fire"
406,"Fire, Natural Disaster"
407,"Medical, Accident"
408,"Medical, Accident"
409,"Fire, Natural Disaster"
410,"Fire, Natural Disaster"
411,"Fire, Theft"
412,"Medical, Fire"
413,"Theft, Accident"
414,"Fire, Theft"
415,"Medical, Fire"
416,"Fire, Natural Disaster"
417,"Medical, Accident"
418,"Fire, Natural Disaster"
419,"Fire, Natural Disaster"
420,"Fire, Theft"
421,"Medical, Accident"
422,"Fire, Natural Disaster"
423,"Medical, Fire"
424,"Theft, Accident"
425,"Fire, Theft"
426,"Fire, Theft"
427,"Fire, Theft"
428,"Medical, Accident"
429,"Medical, Accident"
430,"Medical, Fire"
431,"Medical, Accident"
432,"Medical, Accident"
433,"Medical, Accident"
434,"Medical, Fire"
435,"Medical, Accident"
436,"Fire, Theft"
437,"Medical, Fire"
438,"Medical, Fire"
439,"Medical, Accident"
440,"Theft, Accident"
441,"Medical, Accident"
442,"Fire, Natural Disaster"
443,"Medical, Fire"
444,"Fire, Theft"
445,"Medical, Fire"
446,"Fire, Natural Disaster"
447,"Theft, Accident"
448,"Fire, Theft"
449,"Fire, Natural Disaster"
450,"Fire, Natural Disaster"
451,"Fire, Natural Disaster"
452,"Fire, Natural Disaster"
453,"Fire, Theft"
454,"Fire, Theft"
455,"Fire, Natural Disaster"
456,"Theft, Accident"
457,"Medical, Fire"
458,"Medical, Accident"
459,"Fire, Theft"
460,"Medical, Fire"
461,"Medical, Fire"
462,"Fire, Theft"
463,"Theft, Accident"
464,"Medical, Accident"
465,"Fire, Theft"
466,"Medical, Fire"
467,"Medical, Accident"
468,"Fire, Natural Disaster"
469,"Medical, Fire"
470,"Fire, Natural Disaster"
471,"Fire, Natural Disaster"
472,"Fire, Theft"
473,"Fire, Natural Disaster"
474,"Medical, Fire"
475,"Fire, Theft"
476,"Theft, Accident"
477,"Medical, Fire"
478,"Fire, Natural Disaster"
479,"Medical, Fire"
480,"Medical, Fire"
481,"Medical, Accident"
482,"Medical, Fire"
483,"Theft, Accident"
484,"Theft, Accident"
485,"Fire, Natural Disaster"
486,"Medical, Accident"
487,"Fire, Theft"
488,"Medical, Accident"
489,"Fire, Natural Disaster"
490,"Fire, Natural Disaster"
491,"Theft, Accident"
492,"Fire, Natural Disaster"
493,"Medical, Fire"
494,"Fire, Natural Disaster"
495,"Medical, Accident"
496,"Medical, Fire"
497,"Theft, Accident"
498,"Medical, Fire"
499,"Fire, Theft"
500,"Medical, Accident"
501,"Theft, Accident"
502,"Fire, Natural Disaster"
503,"Medical, Accident"
504,"Theft, Accident"
505,"Medical, Fire"
506,"Medical, Fire"
507,"Medical, Fire"
508,"Medical, Fire"
509,"Medical, Accident"
510,"Theft, Accident"
511,"Theft, Accident"
512,"Medical, Accident"
513,"Medical, Fire"
514,"Theft, Accident"
515,"Fire, Natural Disaster"
516,"Fire, Theft"
517,"Fire, Natural Disaster"
518,"Theft, Accident"
519,"Medical, Accident"
520,"Medical, Fire"
521,"Medical, Fire"
522,"Fire, Theft"
523,"Fire, Natural Disaster"
524,"Theft, Accident"
525,"Fire, Natural Disaster"
526,"Medical, Accident"
527,"Medical, Fire"
528,"Fire, Natural Disaster"
529,"Fire, Natural Disaster"
530,"Medical, Fire"
531,"Theft, Accident"
532,"Fire, Theft"
533,"Fire, Natural Disaster"
534,"Medical, Fire"
535,"Medical, Fire"
536,"Fire, Natural Disaster"
537,"Fire, Natural Disaster"
538,"Fire, Theft"
539,"Medical, Fire"
540,"Fire, Theft"
541,"Medical, Fire"
542,"Medical, Fire"
543,"Fire, Natural Disaster"
544,"Theft, Accident"
545,"Fire, Natural Disaster"
546,"Theft, Accident"
547,"Medical, Fire"
548,"Theft, Accident"
549,"Medical, Fire"
550,"Medical, Fire"
551,"Theft, Accident"
552,"Fire, Natural Disaster"
553,"Theft, Accident"
554,"Fire, Theft"
555,"Medical, Fire"
556,"Medical, Accident"
557,"Medical, Fire"
558,"Medical, Fire"
559,"Theft, Accident"
560,"Fire, Theft"
561,"Fire, Natural Disaster"
562,"Fire, Natural Disaster"
563,"Medical, Accident"
564,"Theft, Accident"
565,"Fire, Natural Disaster"
566,"Medical, Fire"
567,"Theft, Accident"
568,"Medical, Accident"
569,"Fire, Natural Disaster"
570,"Medical, Fire"
571,"Medical, Fire"
572,"Medical, Fire"
573,"Fire, Theft"
574,"Fire, Natural Disaster"
575,"Theft, Accident"
576,"Medical, Fire"
577,"Medical, Fire"
578,"Fire, Theft"
579,"Theft, Accident"
580,"Theft, Accident"
581,"Theft, Accident"
582,"Fire, Theft"
583,"Medical, Fire"
584,"Medical, Accident"
585,"Medical, Fire"
586,"Fire, Natural Disaster"
587,"Fire, Theft"
588,"Theft, Accident"
589,"Medical, Accident"
590,"Fire, Theft"
591,"Fire, Theft"
592,"Medical, Accident"
593,"Fire, Natural Disaster"
594,"Medical, Accident"
595,"Fire, Natural Disaster"
596,"Fire, Theft"
597,"Fire, Natural Disaster"
598,"Fire, Natural Disaster"
599,"Theft, Accident"
600,"Medical, Fire"
601,"Medical, Fire"
602,"Fire, Theft"
603,"Fire, Theft"
604,"Medical, Fire"
605,"Medical, Accident"
606,"Theft, Accident"
607,"Medical, Fire"
608,"Theft, Accident"
609,"Theft, Accident"
610,"Medical, Fire"
611,"Fire, Theft"
612,"Medical, Accident"
613,"Fire, Theft"
614,"Medical, Fire"
615,"Medical, Fire"
616,"Medical, Fire"
617,"Medical, Fire"
618,"Medical, Accident"
619,"Fire, Theft"
620,"Theft, Accident"
621,"Fire, Natural Disaster"
622,"Theft, Accident"
623,"Medical, Fire"
624,"Medical, Fire"
625,"Medical, Accident"
626,"Medical, Fire"
627,"Medical, Fire"
628,"Fire, Natural Disaster"
629,"Theft, Accident"
630,"Fire, Theft"
631,"Medical, Fire"
632,"Theft, Accident"
633,"Fire, Natural Disaster"
634,"Medical, Accident"
635,"Fire, Theft"
636,"Medical, Accident"
637,"Fire, Natural Disaster"
638,"Theft, Accident"
639,"Fire, Theft"
640,"Fire, Theft"
641,"Fire, Theft"
642,"Medical, Accident"
643,"Fire, Theft"
644,"Theft, Accident"
645,"Fire, Natural Disaster"
646,"Fire, Natural Disaster"
647,"Fire, Theft"
648,"Medical, Fire"
649,"Medical, Fire"
650,"Theft, Accident"
651,"Medical, Accident"
652,"Fire, Theft"
653,"Theft, Accident"
654,"Fire, Natural Disaster"
655,"Theft, Accident"
656,"Fire, Theft"
657,"Medical, Fire"
658,"Theft, Accident"
659,"Medical, Fire"
660,"Medical, Accident"
661,"Fire, Natural Disaster"
662,"Medical, Fire"
663,"Theft, Accident"
664,"Fire, Natural Disaster"
665,"Fire, Natural Disaster"
666,"Medical, Fire"
667,"Fire, Theft"
668,"Medical, Fire"
669,"Fire, Natural Disaster"
670,"Fire, Theft"
671,"Fire, Theft"
672,"Medical, Fire"
673,"Fire, Natural Disaster"
674,"Medical, Accident"
675,"Fire, Natural Disaster"
676,"Fire, Theft"
677,"Fire, Theft"
678,"Fire, Theft"
679,"Medical, Accident"
680,"Fire, Natural Disaster"
681,"Theft, Accident"
682,"Fire, Theft"
683,"Fire, Theft"
684,"Medical, Accident"
685,"Theft, Accident"
686,"Theft, Accident"
687,"Theft, Accident"
688,"Theft, Accident"
689,"Medical, Accident"
690,"Medical, Fire"
691,"Medical, Fire"
692,"Fire, Theft"
693,"Fire, Natural Disaster"
694,"Fire, Natural Disaster"
695,"Theft, Accident"
696,"Theft, Accident"
697,"Fire, Natural Disaster"
698,"Medical, Fire"
699,"Fire, Natural Disaster"
700,"Theft, Accident"
701,"Medical, Accident"
702,"Theft, Accident"
703,"Fire, Theft"
704,"Fire, Natural Disaster"
705,"Medical, Accident"
706,"Medical, Accident"
707,"Fire, Theft"
708,"Theft, Accident"
709,"Theft, Accident"
710,"Medical, Fire"
711,"Medical, Fire"
712,"Fire, Natural Disaster"
713,"Fire, Natural Disaster"
714,"Medical, Accident"
715,"Theft, Accident"
716,"Fire, Natural Disaster"
717,"Medical, Accident"
718,"Medical, Accident"
719,"Medical, Accident"
720,"Fire, Theft"
721,"Medical, Fire"
722,"Fire, Theft"
723,"Theft, Accident"
724,"Medical, Accident"
725,"Medical, Accident"
726,"Theft, Accident"
727,"Fire, Natural Disaster"
728,"Fire, Theft"
729,"Theft, Accident"
730,"Fire, Natural Disaster"
731,"Theft, Accident"
732,"Fire, Natural Disaster"
733,"Fire, Natural Disaster"
734,"Theft, Accident"
735,"Medical, Fire"
736,"Theft, Accident"
737,"Theft, Accident"
738,"Theft, Accident"
739,"Medical, Fire"
740,"Medical, Accident"
741,"Medical, Fire"
742,"Fire, Natural Disaster"
743,"Theft, Accident"
744,"Medical, Accident"
745,"Fire, Theft"
746,"Medical, Accident"
747,"Medical, Fire"
748,"Medical, Accident"
749,"Theft, Accident"
750,"Fire, Theft"
751,"Fire, Natural Disaster"
752,"Fire, Theft"
753,"Medical, Accident"
754,"Theft, Accident"
755,"Theft, Accident"
756,"Theft, Accident"
757,"Medical, Accident"
758,"Fire, Theft"
759,"Medical, Accident"
760,"Medical, Fire"
761,"Fire, Theft"
762,"Fire, Theft"
763,"Medical, Accident"
764,"Fire, Natural Disaster"
765,"Medical, Accident"
766,"Medical, Accident"
767,"Fire, Theft"
768,"Fire, Theft"
769,"Fire, Natural Disaster"
770,"Medical, Accident"
771,"Medical, Accident"
772,"Fire, Natural Disaster"
773,"Fire, Natural Disaster"
774,"Medical, Accident"
775,"Fire, Natural Disaster"
776,"Theft, Accident"
777,"Medical, Fire"
778,"Medical, Fire"
779,"Medical, Accident"
780,"Medical, Fire"
781,"Theft, Accident"
782,"Medical, Fire"
783,"Theft, Accident"
784,"Theft, Accident"
785,"Medical, Fire"
786,"Theft, Accident"
787,"Medical, Accident"
788,"Medical, Accident"
789,"Medical, Fire"
790,"Theft, Accident"
791,"Medical, Accident"
792,"Theft, Accident"
793,"Medical, Accident"
794,"Theft, Accident"
795,"Fire, Theft"
796,"Fire, Natural Disaster"
797,"Fire, Theft"
798,"Medical, Fire"
799,"Theft, Accident"
800,"Fire, Natural Disaster"
801,"Theft, Accident"
802,"Medical, Fire"
803,"Fire, Theft"
804,"Fire, Natural Disaster"
805,"Fire, Theft"
806,"Fire, Theft"
807,"Theft, Accident"
808,"Fire, Theft"
809,"Medical, Fire"
810,"Fire, Theft"
811,"Theft, Accident"
812,"Theft, Accident"
813,"Medical, Fire"
814,"Fire, Theft"
815,"Theft, Accident"
816,"Fire, Natural Disaster"
817,"Fire, Natural Disaster"
818,"Theft, Accident"
819,"Theft, Accident"
820,"Fire, Natural Disaster"
821,"Medical, Accident"
822,"Theft, Accident"
823,"Medical, Accident"
824,"Theft, Accident"
825,"Medical, Accident"
826,"Theft, Accident"
827,"Fire, Natural Disaster"
828,"Medical, Fire"
829,"Theft, Accident"
830,"Fire, Theft"
831,"Fire, Natural Disaster"
832,"Fire, Theft"
833,"Theft, Accident"
834,"Medical, Fire"
835,"Theft, Accident"
836,"Medical, Fire"
837,"Fire, Natural Disaster"
838,"Medical, Accident"
839,"Theft, Accident"
840,"Theft, Accident"
841,"Medical, Fire"
842,"Medical, Accident"
843,"Fire, Theft"
844,"Theft, Accident"
845,"Medical, Accident"
846,"Fire, Natural Disaster"
847,"Medical, Fire"
848,"Medical, Fire"
849,"Fire, Theft"
850,"Medical, Accident"
851,"Medical, Accident"
852,"Fire, Theft"
853,"Medical, Fire"
854,"Medical, Accident"
855,"Fire, Natural Disaster"
856,"Fire, Theft"
857,"Fire, Theft"
858,"Medical, Accident"
859,"Medical, Accident"
860,"Medical, Fire"
861,"Medical, Fire"
862,"Medical, Accident"
863,"Fire, Natural Disaster"
864,"Fire, Theft"
865,"Medical, Fire"
866,"Fire, Natural Disaster"
867,"Medical, Fire"
868,"Medical, Fire"
869,"Medical, Accident"
870,"Medical, Fire"
871,"Fire, Theft"
872,"Theft, Accident"
873,"Medical, Accident"
874,"Fire, Natural Disaster"
875,"Medical, Fire"
876,"Fire, Natural Disaster"
877,"Medical, Accident"
878,"Fire, Theft"
879,"Theft, Accident"
880,"Medical, Fire"
881,"Fire, Natural Disaster"
882,"Medical, Accident"
883,"Theft, Accident"
884,"Fire, Theft"
885,"Theft, Accident"
886,"Medical, Accident"
887,"Fire, Theft"
888,"Fire, Natural Disaster"
889,"Theft, Accident"
890,"Fire, Natural Disaster"
891,"Theft, Accident"
892,"Medical, Accident"
893,"Theft, Accident"
894,"Medical, Accident"
895,"Fire, Natural Disaster"
896,"Medical, Fire"
897,"Fire, Theft"
898,"Fire, Theft"
899,"Medical, Fire"
900,"Medical, Fire"
901,"Fire, Theft"
902,"Theft, Accident"
903,"Fire, Natural Disaster"
904,"Fire, Natural Disaster"
905,"Medical, Accident"
906,"Theft, Accident"
907,"Theft, Accident"
908,"Fire, Natural Disaster"
909,"Fire, Natural Disaster"
910,"Fire, Theft"
911,"Fire, Natural Disaster"
912,"Fire, Natural Disaster"
913,"Fire, Natural Disaster"
914,"Medical, Accident"
915,"Medical, Fire"
916,"Fire, Natural Disaster"
917,"Medical, Fire"
918,"Fire, Theft"
919,"Theft, Accident"
920,"Medical, Accident"
921,"Medical, Accident"
922,"Fire, Natural Disaster"
923,"Medical, Accident"
924,"Medical, Fire"
925,"Medical, Fire"
926,"Medical, Fire"
927,"Theft, Accident"
928,"Fire, Natural Disaster"
929,"Fire, Natural Disaster"
930,"Theft, Accident"
931,"Theft, Accident"
932,"Fire, Theft"
933,"Medical, Fire"
934,"Medical, Fire"
935,"Medical, Fire"
936,"Medical, Fire"
937,"Fire, Theft"
938,"Fire, Theft"
939,"Fire, Theft"
940,"Fire, Theft"
941,"Medical, Fire"
942,"Medical, Fire"
943,"Medical, Fire"
944,"Theft, Accident"
945,"Fire, Natural Disaster"
946,"Medical, Accident"
947,"Medical, Fire"
948,"Fire, Theft"
949,"Medical, Fire"
950,"Medical, Accident"
951,"Theft, Accident"
952,"Medical, Accident"
953,"Fire, Theft"
954,"Fire, Theft"
955,"Medical, Fire"
956,"Medical, Fire"
957,"Fire, Natural Disaster"
958,"Medical, Fire"
959,"Theft, Accident"
960,"Theft, Accident"
961,"Medical, Accident"
962,"Theft, Accident"
963,"Fire, Natural Disaster"
964,"Theft, Accident"
965,"Medical, Fire"
966,"Medical, Fire"
967,"Theft, Accident"
968,"Medical, Fire"
969,"Medical, Fire"
970,"Fire, Natural Disaster"
971,"Medical, Fire"
972,"Theft, Accident"
973,"Fire, Natural Disaster"
974,"Medical, Accident"
975,"Medical, Fire"
976,"Theft, Accident"
977,"Fire, Natural Disaster"
978,"Theft, Accident"
979,"Medical, Fire"
980,"Theft, Accident"
981,"Medical, Fire"
982,"Medical, Accident"
983,"Medical, Fire"
984,"Fire, Theft"
985,"Medical, Fire"
986,"Fire, Theft"
987,"Medical, Accident"
988,"Medical, Accident"
989,"Fire, Theft"
990,"Fire, Natural Disaster"
991,"Medical, Fire"
992,"Fire, Natural Disaster"
993,"Medical, Fire"
994,"Medical, Fire"
995,"Fire, Theft"
996,"Medical, Accident"
997,"Theft, Accident"
998,"Medical, Fire"
999,"Medical, Fire"
1000,"Medical, Accident"
1001,"Medical, Fire"
1002,"Fire, Natural Disaster"
1003,"Fire, Theft"
1004,"Fire, Natural Disaster"
1005,"Fire, Theft"
1006,"Theft, Accident"
1007,"Medical, Fire"
1008,"Medical, Fire"
1009,"Theft, Accident"
1010,"Theft, Accident"
1011,"Theft, Accident"
1012,"Fire, Theft"
1013,"Theft, Accident"
1014,"Medical, Accident"
1015,"Fire, Natural Disaster"
1016,"Fire, Natural Disaster"
1017,"Medical, Accident"
1018,"Medical, Fire"
1019,"Fire, Natural Disaster"
1020,"Medical, Fire"
1021,"Fire, Theft"
1022,"Fire, Theft"
1023,"Medical, Accident"
1024,"Medical, Accident"
1025,"Fire, Theft"
1026,"Medical, Accident"
1027,"Medical, Fire"
1028,"Medical, Fire"
1029,"Theft, Accident"
1030,"Fire, Natural Disaster"
1031,"Medical, Fire"
1032,"Fire, Theft"
1033,"Fire, Theft"
1034,"Medical, Fire"
1035,"Medical, Accident"
1036,"Medical, Fire"
1037,"Fire, Natural Disaster"
1038,"Medical, Fire"
1039,"Fire, Theft"
1040,"Theft, Accident"
1041,"Theft, Accident"
1042,"Medical, Fire"
1043,"Fire, Theft"
1044,"Fire, Theft"
1045,"Medical, Fire"
1046,"Medical, Fire"
1047,"Medical, Accident"
1048,"Fire, Theft"
1049,"Fire, Natural Disaster"
1050,"Fire, Natural Disaster"
1051,"Medical, Fire"
1052,"Fire, Theft"
1053,"Theft, Accident"
1054,"Theft, Accident"
1055,"Medical, Accident"
1056,"Medical, Fire"
1057,"Fire, Natural Disaster"
1058,"Fire, Natural Disaster"
1059,"Medical, Fire"
1060,"Medical, Accident"
1061,"Medical, Accident"
1062,"Theft, Accident"
1063,"Fire, Theft"
1064,"Theft, Accident"
1065,"Medical, Fire"
1066,"Medical, Fire"
1067,"Fire, Theft"
1068,"Fire, Natural Disaster"
1069,"Fire, Theft"
1070,"Theft, Accident"
1071,"Medical, Accident"
1072,"Medical, Accident"
1073,"Fire, Natural Disaster"
1074,"Fire, Theft"
1075,"Fire, Theft"
1076,"Fire, Theft"
1077,"Medical, Fire"
1078,"Medical, Accident"
1079,"Medical, Fire"
1080,"Fire, Theft"
1081,"Fire, Theft"
1082,"Medical, Accident"
1083,"Medical, Fire"
1084,"Medical, Accident"
1085,"Medical, Fire"
1086,"Fire, Natural Disaster"
1087,"Theft, Accident"
1088,"Medical, Accident"
1089,"Theft, Accident"
